,"{1: [2, 3, 4, 6, 7, 8, 10, 16, 22, 29, 32, 33, 34, 37, 43, 46, 48, 49, 50, 51, 52, 55, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 79, 80, 81, 83, 84, 85, 87, 91, 94, 100, 107, 115, 116, 117, 127, 128, 130, 135, 145, 147, 151, 152, 153, 163, 173, 178, 184, 188, 189, 190, 196, 198, 207, 209, 211, 216, 219, 221, 224, 225, 226, 235, 238, 248, 253, 261, 262, 263, 266, 270, 273, 276, 278, 286, 289, 290, 291, 293, 296, 298, 300, 303, 304, 305, 311, 314, 326, 328, 330, 332, 334, 336, 342, 344, 345, 346, 347, 350, 353, 366, 368, 371, 377, 380, 383, 384, 385, 388, 392, 396, 400, 404, 411, 415, 418, 420, 421, 422, 427, 429, 433, 446, 456, 457, 458, 465, 470, 473, 475, 477, 479, 481, 483, 495, 496, 497, 499, 502, 509, 511, 522, 524, 530, 532, 533, 534, 542, 544, 547, 558, 560, 565, 566, 567, 569, 572, 595, 600, 601, 602, 605, 607, 610, 625, 636, 637, 638, 641, 650, 663, 665, 669, 673, 674, 675, 681, 696, 703, 710, 711, 712, 715, 728, 739, 747, 748, 749, 759, 767, 772, 776, 783, 784, 785, 790, 792, 795, 797, 799, 801, 804, 806, 808, 810, 819, 822, 823, 824, 832, 841, 848, 851, 857, 858, 859, 861, 872, 878, 888, 894, 895, 896, 903, 912, 914, 917, 922, 926, 931, 932, 933, 942, 951, 954, 956, 959, 962, 964, 966, 969, 970, 971, 973, 976, 978, 981, 983, 985, 989, 991, 994, 996, 999, 1001, 1004, 1007, 1009, 1010, 1011, 1014, 1016, 1018, 1021, 1024, 1028, 1031, 1036, 1038, 1041, 1048, 1049, 1050, 1053, 1055, 1057, 1059, 1061, 1068, 1070, 1076, 1078, 1081, 1085, 1086, 1087, 1091, 1094, 1096, 1100, 1102, 1104, 1106, 1108, 1111, 1113, 1115, 1117, 1119, 1122, 1124, 1125, 1126, 1128, 1130, 1133, 1136, 1138, 1140, 1142, 1146, 1148, 1155, 1157, 1159, 1163, 1164, 1165, 1175, 1184, 1186, 1188, 1189, 1191, 1196, 1198, 1199, 1200, 1204, 1206, 1209, 1211, 1216, 1218, 1220, 1223, 1236, 1237, 1238, 1240, 1243, 1246, 1255, 1260, 1262, 1265, 1267, 1271, 1273, 1274, 1275, 1281, 1284, 1287, 1296, 1299, 1301, 1303, 1305, 1311, 1312, 1313, 1318, 1321, 1323, 1326, 1329, 1337, 1339, 1341, 1344, 1348, 1349, 1350, 1353, 1355, 1357, 1359, 1363, 1365, 1370, 1372, 1385, 1386, 1387, 1390, 1392, 1395, 1397, 1399, 1401, 1405, 1410, 1413, 1415, 1419, 1422, 1423, 1424, 1428, 1430, 1434, 1441, 1451, 1458, 1459, 1460, 1463, 1468, 1471, 1472, 1473, 1475, 1476, 1477, 1478, 1480, 1482, 1483, 1484, 1490, 1491, 1492, 1493, 1495, 1497, 1498, 1499, 1504, 1505, 1506, 1511, 1514, 1515, 1516, 1519, 1521, 1522, 1523, 1525, 1526, 1527, 1530, 1531, 1532, 1534, 1535, 1536, 1540, 1541, 1542, 1544, 1549, 1551, 1556, 1557, 1558, 1560, 1565, 1572, 1579, 1583, 1586, 1587]}"
radio,"{1: [360, 536]}"
falsehoods,"{1: [469, 471]}"
earth,"{1: [279, 280, 800, 1456]}"
lessons,{1: [743]}
judges,{1: [1173]}
copy,{1: [168]}
consciousness,{1: [439]}
explain,{1: [1105]}
mens,{1: [713]}
bush,{1: [274]}
rich,{1: [445]}
gods,"{1: [30, 474, 619, 686, 948, 1099, 1101, 1116, 1263, 1381, 1418, 1420]}"
enslave,"{1: [23, 698]}"
scripture,"{1: [866, 1332]}"
indepth,{1: [401]}
stop,"{1: [105, 241]}"
dc,"{1: [14, 170, 920]}"
spirit,{1: [141]}
despite,{1: [26]}
report,"{1: [816, 1229]}"
vividly,{1: [1160]}
comply,{1: [1580]}
countries,"{1: [358, 359, 488, 745, 1151]}"
nicely,{1: [506]}
suggested,"{1: [118, 413]}"
public,"{1: [133, 416, 540, 718, 732, 826, 1566, 1569, 1573]}"
inactive,{1: [762]}
egoist,{1: [201]}
release,{1: [936]}
respond,{1: [555]}
attest,{1: [640]}
reference,{1: [1502]}
generally,{1: [1567]}
deemed,{1: [1051]}
observed,{1: [820]}
depends,{1: [941]}
decided,"{1: [174, 1324]}"
result,"{1: [19, 576, 619, 892, 1221]}"
holding,{1: [830]}
corrupt,{1: [302]}
best,"{1: [449, 945, 1319]}"
subject,"{1: [723, 1501]}"
said,"{1: [27, 89, 93, 108, 139, 180, 193, 218, 227, 249, 265, 299, 313, 335, 370, 390, 414, 423, 501, 516, 531, 559, 709, 813, 928, 948, 982, 1032, 1167, 1176, 1247, 1276, 1285, 1308, 1309, 1314, 1327, 1383, 1431]}"
ambitions,{1: [844]}
away,"{1: [245, 741, 866, 1300]}"
irs,"{1: [735, 1440]}"
continually,"{1: [579, 599, 604, 754, 755]}"
future,"{1: [308, 369, 564, 1051, 1292]}"
finger,{1: [627]}
disprove,{1: [281]}
hopefully,{1: [186]}
wise,"{1: [36, 331, 1166]}"
slugs,{1: [516]}
preserve,"{1: [677, 679]}"
never,"{1: [193, 355, 356, 438, 445, 490, 516, 555, 556, 580, 583, 592, 593, 603, 647, 653, 655, 657, 671, 687, 688, 692, 694, 700, 701, 704, 733, 769, 899, 972, 979, 1258, 1269, 1269, 1282, 1336, 1371, 1383]}"
terms,{1: [683]}
extend,"{1: [588, 589]}"
nature,"{1: [126, 444, 471, 521, 563]}"
rolled,{1: [608]}
confusion,"{1: [132, 1178, 1179, 1179]}"
handful,{1: [854]}
ignorance,"{1: [124, 826, 905]}"
richest,{1: [538]}
ww,"{1: [478, 1170]}"
extent,"{1: [707, 764, 1058, 1570, 1577]}"
news,"{1: [104, 106, 613, 660, 1034, 1229]}"
debt,"{1: [592, 592]}"
faced,{1: [389]}
protect,"{1: [472, 774]}"
disdain,{1: [120]}
country,"{1: [90, 352, 408, 818, 829, 883, 891, 900, 902, 907, 910, 1043, 1151, 1154, 1182]}"
ill,"{1: [114, 521, 1084, 1176, 1304]}"
demanded,{1: [1153]}
facet,{1: [924]}
planned,{1: [137]}
hypocrites,{1: [318]}
expense,{1: [159]}
asked,"{1: [101, 108, 210, 222, 299, 335, 351, 389, 431, 510, 523, 531, 545, 1308, 1309]}"
appeared,"{1: [181, 844]}"
prominent,{1: [1292]}
trust,"{1: [325, 1361]}"
hitler,{1: [1025]}
speak,"{1: [277, 423, 1190, 1351, 1352, 1396, 1455]}"
conference,{1: [242]}
basis,"{1: [975, 1307]}"
union,"{1: [906, 1561]}"
trapdoor,{1: [348]}
futility,{1: [757]}
three,"{1: [109, 1005, 1444, 1580]}"
quickly,{1: [288]}
permission,{1: [1585]}
much,"{1: [159, 161, 180, 242, 337, 349, 887, 950, 1279, 1285, 1351, 1421, 1431, 1435]}"
interest,"{1: [454, 654, 1554]}"
basic,{1: [215]}
intercourses,{1: [443]}
life,"{1: [265, 376, 439, 441, 442, 450, 484, 670, 707, 842, 863, 924, 1373]}"
families,"{1: [352, 355, 356, 639, 684]}"
eastern,"{1: [937, 1257]}"
concerning,{1: [609]}
lift,{1: [854]}
child,{1: [838]}
worked,"{1: [58, 63, 691]}"
applied,{1: [721]}
righteous,{1: [855]}
publicly,"{1: [923, 1293]}"
sileven,{1: [1445]}
originate,{1: [341]}
economies,{1: [803]}
resume,{1: [1446]}
employ,{1: [758]}
teachers,"{1: [1040, 1173]}"
stopping,{1: [726]}
balance,"{1: [930, 937, 1411]}"
k,"{1: [54, 149, 171, 183]}"
mistake,{1: [733]}
seven,"{1: [323, 1436]}"
iz,{1: [1309]}
mexico,{1: [830]}
defeated,{1: [916]}
iv,{1: [619]}
ii,"{1: [478, 632, 1029, 1170]}"
cant,"{1: [1134, 1224, 1376]}"
clutches,{1: [901]}
im,"{1: [295, 373, 374, 965, 974, 992, 1029, 1054, 1197, 1292, 1398]}"
hebrew,"{1: [213, 1178]}"
comparative,{1: [490]}
mouse,{1: [134]}
id,"{1: [315, 1248]}"
trusted,{1: [325]}
memorial,{1: [168]}
taped,"{1: [928, 937]}"
things,"{1: [192, 391, 736, 778, 988, 1089, 1239, 1239, 1276, 1278, 1356, 1403, 1403]}"
make,"{1: [251, 282, 434, 716, 1168, 1261, 1264, 1272, 1279]}"
amount,{1: [831]}
rebellion,{1: [1461]}
complex,{1: [426]}
freedomloving,{1: [1466]}
several,"{1: [391, 902]}"
european,"{1: [745, 1561, 1561, 1562]}"
ringleaders,{1: [1179]}
frenchmen,{1: [486]}
everett,{1: [1445]}
published,"{1: [934, 960, 1573]}"
goyim,{1: [736]}
evil,"{1: [40, 142, 843, 884, 885, 889]}"
hand,"{1: [142, 815, 884]}"
documents,{1: [1508]}
noncommercial,{1: [1571]}
potentials,{1: [775]}
workings,{1: [14]}
thoughts,"{1: [563, 609]}"
cycle,"{1: [583, 585]}"
practiced,{1: [526]}
whereby,{1: [435]}
programs,"{1: [93, 554]}"
vulgar,{1: [929]}
possessed,{1: [438]}
youre,"{1: [307, 979, 997, 1042, 1071, 1072, 1134, 1143, 1144, 1144, 1180, 1282, 1354]}"
ths,{1: [515]}
game,{1: [700]}
materials,{1: [539]}
greatest,"{1: [469, 577, 693, 717, 761, 1362]}"
qualities,{1: [1457]}
mother,"{1: [165, 1320, 1322]}"
left,"{1: [56, 69, 1030]}"
opinions,"{1: [1407, 1537]}"
proposed,{1: [531]}
able,"{1: [26, 489, 535, 593, 613, 632, 698, 701, 844]}"
ideas,{1: [1538]}
silverman,{1: [1228]}
thanks,{1: [206]}
human,"{1: [141, 1509, 1512, 1547]}"
facts,"{1: [374, 779, 1486]}"
yes,"{1: [274, 386, 838, 893, 1137, 1156, 1207, 1212, 1427]}"
article,"{1: [1513, 1524, 1533]}"
yet,"{1: [122, 142, 200, 586, 968, 1006, 1066]}"
previous,{1: [61]}
spectacles,{1: [618]}
acguiring,{1: [700]}
instance,"{1: [395, 1568]}"
niggers,"{1: [1202, 1213]}"
ease,"{1: [95, 490]}"
character,"{1: [451, 469, 484, 1065, 1575]}"
advancement,{1: [1375]}
countrys,{1: [1192]}
board,{1: [333]}
innocent,{1: [843]}
save,"{1: [679, 777, 852, 853, 900]}"
expelled,{1: [1153]}
gave,"{1: [175, 283]}"
threatens,{1: [884]}
boasted,"{1: [102, 103, 205]}"
elders,{1: [876]}
posed,"{1: [990, 1245]}"
possible,"{1: [97, 141, 142, 868, 887, 1289]}"
possibly,"{1: [56, 778, 1069, 1160, 1177]}"
cultural,{1: [382]}
bastards,{1: [318]}
wanting,{1: [997]}
judge,{1: [197]}
personalized,{1: [876]}
apart,"{1: [690, 1144]}"
desire,"{1: [164, 434, 886]}"
county,{1: [393]}
candidness,{1: [200]}
theyre,{1: [1212]}
offices,{1: [817]}
arbitrary,{1: [1517]}
security,{1: [905]}
devils,{1: [1467]}
cowardice,{1: [662]}
gompers,{1: [576]}
right,"{1: [73, 786, 997, 1144, 1398, 1462, 1479, 1485, 1488, 1520, 1528, 1528, 1537, 1537, 1568]}"
deal,{1: [881]}
people,"{1: [23, 31, 39, 89, 131, 143, 155, 157, 161, 274, 283, 301, 316, 406, 414, 425, 445, 462, 467, 474, 540, 551, 555, 612, 623, 646, 657, 686, 699, 700, 704, 716, 730, 740, 753, 754, 768, 791, 805, 827, 831, 864, 869, 936, 940, 948, 950, 961, 998, 1002, 1032, 1032, 1035, 1039, 1040, 1063, 1088, 1099, 1101, 1116, 1127, 1187, 1212, 1224, 1225, 1248, 1249, 1252, 1259, 1259, 1264, 1283, 1285, 1288, 1289, 1343, 1354, 1360, 1361, 1374, 1381, 1382, 1418, 1420, 1421, 1461, 1462, 1469]}"
creed,{1: [451]}
ironically,{1: [1066]}
dead,"{1: [280, 1003, 1003]}"
usher,{1: [593]}
election,{1: [916]}
escape,"{1: [550, 893, 900]}"
dear,"{1: [813, 1416]}"
counts,"{1: [1360, 1367]}"
enemies,"{1: [363, 901, 1149]}"
denies,{1: [890]}
unfit,{1: [905]}
zionist,"{1: [123, 210, 212, 229, 230, 231, 242, 897, 906]}"
comments,{1: [45]}
everything,"{1: [175, 250, 339, 867, 883]}"
zionism,"{1: [208, 222, 227, 812, 880, 1324]}"
asking,{1: [1134]}
arrest,{1: [1445]}
serpents,{1: [36]}
christmas,{1: [287]}
theological,{1: [614]}
bold,{1: [45]}
plot,"{1: [892, 1277]}"
pose,"{1: [1000, 1120]}"
illustration,"{1: [45, 1569]}"
englishmen,{1: [487]}
yoke,{1: [854]}
paid,{1: [1241]}
plo,"{1: [56, 57]}"
memorable,{1: [175]}
bury,{1: [96]}
permitted,"{1: [829, 960]}"
chapter,{1: [170]}
conceal,"{1: [471, 484]}"
newspapers,"{1: [360, 537]}"
citizens,"{1: [122, 817]}"
efforts,"{1: [242, 670, 726, 1546]}"
match,{1: [750]}
raised,{1: [1063]}
statements,"{1: [1436, 1442]}"
formerly,"{1: [815, 874]}"
presence,{1: [1438]}
civil,{1: [631]}
pays,{1: [230]}
prisoners,{1: [853]}
intellectual,"{1: [386, 407]}"
son,{1: [890]}
lies,"{1: [541, 717, 1090, 1252]}"
beings,{1: [141]}
accomplishments,{1: [1376]}
magazines,{1: [360]}
doctrine,{1: [621]}
reducing,{1: [649]}
mass,{1: [1226]}
communists,"{1: [323, 338, 351, 357, 811, 825]}"
art,{1: [1563]}
despised,{1: [264]}
deception,{1: [490]}
support,"{1: [223, 234]}"
available,"{1: [1546, 1573]}"
asses,"{1: [417, 417]}"
liquidated,{1: [333]}
fight,"{1: [1364, 1366, 1455]}"
stuck,{1: [1294]}
editor,"{1: [179, 918, 1229, 1230]}"
way,"{1: [265, 369, 434, 721, 910, 910, 1062, 1063, 1239, 1319, 1347, 1400, 1453]}"
acquirers,{1: [686]}
music,{1: [361]}
war,"{1: [407, 631, 631, 632, 633, 1025, 1029, 1452]}"
head,"{1: [580, 1304]}"
form,"{1: [491, 658, 691]}"
offer,{1: [704]}
becoming,{1: [721]}
ford,"{1: [112, 519, 617, 764]}"
heinous,{1: [1277]}
feminine,{1: [562]}
heat,{1: [744]}
powerfully,{1: [873]}
hear,"{1: [870, 1193, 1241, 1292, 1327]}"
astonished,{1: [194]}
true,"{1: [236, 369, 450, 590, 939, 960, 1201, 1253, 1391, 1436, 1453, 1464]}"
analyst,{1: [938]}
builds,{1: [552]}
bounds,{1: [1470]}
economic,"{1: [38, 518, 651, 660, 1547, 1574]}"
bide,{1: [1168]}
horrifying,{1: [180]}
propaganda,"{1: [231, 242, 359, 529, 622, 661, 740, 742, 794, 853, 1171]}"
adopt,"{1: [671, 1330]}"
sinful,{1: [1060]}
proven,{1: [1046]}
evidence,"{1: [142, 493, 836]}"
proves,{1: [685]}
exist,{1: [447]}
prayer,{1: [868]}
mold,{1: [539]}
trip,{1: [816]}
physical,"{1: [220, 364]}"
dying,"{1: [677, 1454]}"
whereas,"{1: [321, 460, 672]}"
nd,{1: [75]}
reality,"{1: [31, 231, 399, 577, 781, 782, 1234, 1431, 1437, 1439]}"
tim,{1: [885]}
interested,{1: [686]}
role,{1: [583]}
javits,"{1: [54, 149, 172, 183, 1109, 1141]}"
brings,{1: [256]}
test,{1: [1580]}
rightholder,{1: [1582]}
confusing,{1: [1340]}
realize,"{1: [306, 378, 704, 1469]}"
nw,{1: [170]}
intend,"{1: [1082, 1291]}"
brothers,"{1: [58, 480]}"
felt,"{1: [386, 545, 1427, 1442]}"
wars,{1: [630]}
sensuous,{1: [554]}
horrible,{1: [778]}
intent,{1: [142]}
authorities,{1: [613]}
dearborn,{1: [114]}
hurt,"{1: [164, 1080]}"
dispersed,{1: [213]}
jones,{1: [1230]}
younger,{1: [1022]}
sanctions,{1: [1440]}
happening,{1: [316]}
bullet,{1: [156]}
salt,"{1: [1456, 1456]}"
daily,"{1: [552, 1446]}"
time,"{1: [148, 156, 199, 199, 267, 375, 436, 459, 584, 677, 873, 927, 1071, 1161, 1166, 1168, 1201, 1214, 1229, 1455, 1457]}"
serious,{1: [1408]}
intimacy,{1: [666]}
profits,"{1: [586, 597, 597]}"
hope,"{1: [1283, 1388]}"
concept,"{1: [213, 734, 1332]}"
managed,{1: [459]}
citizenry,"{1: [1222, 1222]}"
diplomacy,{1: [126]}
keep,"{1: [974, 1080, 1082, 1084, 1307, 1479, 1485, 1486, 1488]}"
separates,{1: [1356]}
hot,{1: [1464]}
focus,{1: [726]}
skin,"{1: [680, 1333]}"
battle,"{1: [777, 867, 900]}"
proselytes,{1: [628]}
idealism,{1: [439]}
supposedly,{1: [1012]}
depend,{1: [1375]}
nineteen,{1: [1533]}
father,"{1: [165, 890, 1320, 1322]}"
abhorrent,{1: [676]}
answered,"{1: [272, 1006, 1244, 1319]}"
finally,{1: [714]}
unpleasant,{1: [402]}
permanently,{1: [228]}
terror,{1: [137]}
suffered,{1: [165]}
circumstances,{1: [1074]}
veterans,"{1: [781, 1432]}"
division,{1: [1367]}
supported,{1: [1066]}
advantage,"{1: [398, 1203, 1207]}"
allegations,"{1: [953, 953]}"
parable,"{1: [25, 1333]}"
choice,{1: [110]}
vegas,{1: [1095]}
advised,{1: [167]}
join,{1: [1330]}
trouble,{1: [1079]}
little,{1: [1149]}
exact,{1: [915]}
minute,"{1: [246, 1084]}"
governments,"{1: [19, 24, 320, 359, 1151, 1343]}"
judaism,"{1: [329, 367, 381, 382, 386, 409, 620]}"
banished,{1: [908]}
level,{1: [649]}
turns,"{1: [284, 1570, 1578]}"
brother,{1: [166]}
temple,{1: [453]}
p,"{1: [114, 162, 521, 619, 766]}"
recall,"{1: [1156, 1205]}"
guy,{1: [1110]}
unaware,{1: [1194]}
spiritual,"{1: [223, 268, 282]}"
talked,"{1: [154, 1346, 1435]}"
invader,{1: [771]}
temples,{1: [653]}
dealing,"{1: [413, 723]}"
discover,"{1: [814, 1469]}"
sign,{1: [731]}
jewishrun,{1: [1208]}
cost,"{1: [581, 585, 865]}"
evasive,{1: [1120]}
patient,{1: [1161]}
sordid,{1: [1221]}
resurgence,{1: [724]}
stands,{1: [119]}
deluded,{1: [626]}
thicker,{1: [1384]}
current,"{1: [651, 1574, 1577]}"
goes,{1: [952]}
booklet,"{1: [11, 42]}"
international,"{1: [114, 161, 162, 169, 521, 529, 619, 765, 794, 821, 880, 1187]}"
appeal,"{1: [554, 852]}"
filled,"{1: [679, 705, 706]}"
satisfy,{1: [1003]}
maxims,"{1: [1494, 1500, 1502]}"
concepts,{1: [98]}
understanding,"{1: [41, 42, 424, 431, 945, 1098, 1503, 1547]}"
water,{1: [1384]}
weisman,"{1: [47, 1474, 1481, 1496]}"
deceit,"{1: [250, 1338, 1342]}"
persecuted,"{1: [312, 1150]}"
teaches,"{1: [658, 1043]}"
teacher,{1: [905]}
change,"{1: [299, 301, 751, 1297, 1331, 1331, 1333, 1335, 1426, 1528]}"
wait,"{1: [96, 138, 174, 1444]}"
mlschnah,{1: [986]}
sending,{1: [244]}
exemption,"{1: [1568, 1573]}"
boast,{1: [369]}
expressly,{1: [1575]}
plotter,{1: [906]}
step,{1: [1580]}
proud,{1: [1376]}
goldenson,{1: [1227]}
accomplished,{1: [1174]}
ineffective,{1: [742]}
franklin,{1: [110]}
studies,{1: [448]}
regardless,"{1: [865, 887, 1539]}"
merely,"{1: [277, 491, 736]}"
prefer,{1: [197]}
logical,"{1: [555, 770]}"
graduated,{1: [1377]}
italians,{1: [487]}
patriots,"{1: [734, 734]}"
forefront,{1: [639]}
rarely,{1: [666]}
market,{1: [526]}
deceptions,{1: [1162]}
wealth,"{1: [445, 590, 887]}"
prove,"{1: [271, 1268]}"
subvert,{1: [1052]}
super,{1: [1183]}
angry,{1: [1222]}
visit,"{1: [220, 280]}"
france,"{1: [1152, 1158]}"
live,"{1: [294, 466, 672, 672, 689, 1214]}"
prey,{1: [678]}
opposed,{1: [580]}
harolds,{1: [167]}
scope,{1: [121]}
angels,{1: [867]}
today,"{1: [15, 119, 1268, 1288, 1351, 1438, 1444, 1447]}"
wicked,"{1: [870, 1334]}"
afford,{1: [793]}
unequaled,{1: [316]}
finis,{1: [1414]}
apparent,"{1: [181, 525, 721]}"
everywhere,"{1: [231, 1438]}"
savior,{1: [1215]}
cases,"{1: [628, 1575, 1581]}"
wouldnt,"{1: [972, 1241, 1306]}"
thousands,"{1: [836, 1030, 1258]}"
pretend,{1: [1167]}
soul,{1: [666]}
cat,{1: [133]}
purge,{1: [333]}
attacks,"{1: [1518, 1520]}"
printing,"{1: [537, 862]}"
inferior,{1: [1212]}
following,"{1: [855, 1510]}"
making,"{1: [233, 426, 725, 1546, 1573]}"
nonredeemable,"{1: [508, 510, 515]}"
plum,{1: [538]}
slightest,{1: [490]}
spy,{1: [329]}
cite,{1: [1437]}
rosenthals,"{1: [168, 200, 919, 928, 953]}"
confused,{1: [1178]}
paused,{1: [1283]}
heard,"{1: [142, 222, 979, 1314, 1364, 1383, 1455]}"
fortunes,{1: [695]}
posing,{1: [57]}
council,"{1: [1251, 1253, 1562]}"
allowed,"{1: [485, 1342]}"
clothing,{1: [318]}
occur,{1: [578]}
bigot,{1: [255]}
recited,{1: [1047]}
discussion,"{1: [118, 140, 1507]}"
means,"{1: [435, 439, 454, 887, 904, 905, 979, 1178]}"
write,"{1: [319, 754]}"
vital,"{1: [786, 840]}"
sword,"{1: [741, 744, 746, 758]}"
dominance,{1: [93]}
economy,"{1: [1192, 1194]}"
product,"{1: [449, 598]}"
influenced,{1: [240]}
may,"{1: [25, 398, 419, 751, 887, 940, 1043, 1051, 1285, 1286, 1351, 1356, 1487, 1562]}"
sacrifice,"{1: [676, 1169]}"
produce,{1: [690]}
designed,"{1: [554, 821, 825]}"
date,{1: [434]}
revealed,"{1: [17, 504, 889, 1429]}"
grow,"{1: [597, 713]}"
man,"{1: [110, 111, 275, 277, 279, 279, 666, 667, 719, 734, 800, 838, 1109]}"
reaped,{1: [634]}
stupidly,{1: [528]}
maybe,"{1: [1062, 1105, 1400]}"
st,{1: [65]}
ones,{1: [1118]}
definitions,{1: [230]}
wolves,{1: [678]}
talk,"{1: [741, 883]}"
exclusive,{1: [1568]}
fronts,{1: [629]}
calloused,{1: [778]}
gradual,{1: [98]}
midnight,{1: [1445]}
years,"{1: [240, 274, 329, 451, 778, 781, 918, 1202, 1263, 1290, 1347, 1437, 1447]}"
furnishes,{1: [441]}
course,"{1: [770, 835, 1327]}"
still,"{1: [398, 399, 720, 952, 1244, 1455, 1464]}"
avid,{1: [622]}
derive,{1: [694]}
group,"{1: [138, 141, 338, 482, 678, 761]}"
despotic,{1: [658]}
wallace,"{1: [53, 92, 118, 119, 148, 175, 779, 915, 1431]}"
apex,{1: [579]}
interesting,"{1: [875, 1185]}"
amazing,{1: [157]}
aviv,{1: [340]}
covertly,{1: [18]}
suspicion,"{1: [436, 491]}"
constitutes,"{1: [257, 1552]}"
policy,"{1: [119, 121, 122, 122, 124, 124, 215]}"
main,{1: [616]}
decades,{1: [109]}
aliens,{1: [829]}
feats,{1: [577]}
correspondence,{1: [1517]}
finance,{1: [1181]}
thereby,{1: [649]}
views,{1: [629]}
nation,"{1: [101, 462, 491, 656, 717, 724, 733, 774, 777, 807, 812, 849, 853, 868, 909, 1467]}"
interview,"{1: [11, 88, 120, 129, 148, 158, 176, 199, 608, 668, 780, 846, 846, 873, 920, 928, 934, 937, 946, 963, 1090, 1242, 1286, 1388, 1412]}"
compelled,{1: [200]}
dollars,"{1: [236, 244]}"
killed,"{1: [149, 155, 156, 478, 1027, 1034, 1435]}"
maintaining,{1: [442]}
possess,{1: [493]}
term,"{1: [213, 510, 687]}"
equality,"{1: [644, 648, 648]}"
name,"{1: [12, 168, 506, 869, 1570, 1576, 1578]}"
commercialized,{1: [455]}
james,{1: [1227]}
realistic,{1: [218]}
veins,{1: [1464]}
entirely,"{1: [1063, 1366, 1375]}"
quarter,{1: [1029]}
neutered,{1: [562]}
edify,{1: [745]}
whosoever,{1: [904]}
receipt,{1: [1507]}
treacherous,{1: [141]}
yeah,{1: [997]}
ec,{1: [1561]}
year,"{1: [174, 1047, 1378]}"
eu,{1: [1559]}
vociferously,{1: [246]}
tried,{1: [974]}
exclamation,{1: [977]}
constitution,{1: [856]}
ultimately,"{1: [519, 644]}"
accomplish,"{1: [405, 1289]}"
opened,{1: [1162]}
profit,"{1: [1393, 1553]}"
inadequacy,{1: [140]}
increase,"{1: [390, 585, 592, 597, 599]}"
contained,{1: [1508]}
investigation,{1: [159]}
imperative,{1: [215]}
internet,{1: [1567]}
churches,"{1: [659, 1174, 1233, 1251, 1253, 1439, 1440, 1453]}"
receiving,"{1: [604, 615, 1554]}"
correct,{1: [1394]}
attended,{1: [1325]}
prostitutes,{1: [463]}
million,"{1: [323, 478, 864, 940, 1012, 1030, 1034, 1380]}"
quite,"{1: [112, 246, 447, 1006]}"
prostituted,{1: [812]}
california,{1: [167]}
besides,"{1: [987, 1002]}"
remainder,{1: [668]}
care,{1: [423]}
advance,{1: [1547]}
training,{1: [450]}
workmanship,{1: [697]}
language,{1: [203]}
ministry,{1: [1446]}
impose,{1: [490]}
british,{1: [1322]}
honest,"{1: [946, 1406]}"
thing,"{1: [40, 254, 275, 548, 549, 719]}"
place,"{1: [425, 623, 647, 731]}"
invitation,{1: [827]}
think,"{1: [122, 200, 369, 899, 992, 998, 1002, 1019, 1131, 1193, 1402]}"
first,"{1: [227, 535, 716, 815, 935]}"
origin,{1: [1268]}
benefited,{1: [685]}
pick,{1: [955]}
spoken,"{1: [139, 845]}"
reprisal,{1: [746]}
one,"{1: [86, 88, 108, 136, 182, 193, 240, 320, 329, 376, 445, 453, 492, 512, 514, 577, 616, 629, 645, 705, 705, 719, 724, 782, 828, 901, 906, 1006, 1080, 1181, 1225, 1225, 1288, 1300, 1360, 1366, 1367, 1433, 1445, 1448, 1488, 1517]}"
americans,"{1: [95, 96, 109, 126, 237, 891, 900, 908, 909, 1193, 1465, 1466, 1487]}"
submit,{1: [97]}
periodical,{1: [750]}
impossible,"{1: [1570, 1578]}"
drove,"{1: [281, 453]}"
open,"{1: [186, 751, 827, 833]}"
george,{1: [118]}
tares,"{1: [1333, 1334, 1336]}"
millions,"{1: [236, 1249, 1465]}"
city,{1: [393]}
given,"{1: [312, 622, 967, 993, 1406]}"
truthfully,"{1: [773, 1417]}"
silent,"{1: [545, 548, 556]}"
breed,{1: [1144]}
dawns,{1: [664]}
anyone,"{1: [164, 256, 294, 639, 879, 1503]}"
lobbyists,{1: [240]}
articles,{1: [1574]}
white,"{1: [13, 158, 617, 630, 630, 633, 657, 683, 756, 918, 967, 1071, 1075, 1088, 1143, 1180, 1203, 1294, 1367, 1453]}"
exerted,{1: [761]}
speaking,"{1: [980, 1398]}"
authorized,{1: [1546]}
hue,{1: [548]}
eyes,"{1: [132, 186, 751, 833, 1162]}"
privately,{1: [928]}
taxation,{1: [1449]}
heritage,"{1: [882, 1325]}"
proving,"{1: [406, 1258]}"
accurately,{1: [773]}
broadcast,{1: [1574]}
released,"{1: [361, 934]}"
ridiculous,{1: [394]}
fooled,{1: [358]}
occurring,"{1: [722, 825]}"
grunt,{1: [540]}
undoubtedly,"{1: [160, 376]}"
infiltrate,{1: [1343]}
population,"{1: [390, 820]}"
television,"{1: [360, 394, 537, 553]}"
rhetorical,{1: [1332]}
accordance,"{1: [658, 1553]}"
require,{1: [965]}
seminaries,{1: [615]}
