,"{1: [2, 3, 4, 6, 7, 8, 10, 16, 22, 29, 32, 33, 34, 37, 43, 46, 48, 49, 50, 51, 52, 55, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 79, 80, 81, 83, 84, 85, 87, 91, 94, 100, 107, 115, 116, 117, 127, 128, 130, 135, 145, 147, 151, 152, 153, 163, 173, 178, 184, 188, 189, 190, 196, 198, 207, 209, 211, 216, 219, 221, 224, 225, 226, 235, 238, 248, 253, 261, 262, 263, 266, 270, 273, 276, 278, 286, 289, 290, 291, 293, 296, 298, 300, 303, 304, 305, 311, 314, 326, 328, 330, 332, 334, 336, 342, 344, 345, 346, 347, 350, 353, 366, 368, 371, 377, 380, 383, 384, 385, 388, 392, 396, 400, 404, 411, 415, 418, 420, 421, 422, 427, 429, 433, 446, 456, 457, 458, 465, 470, 473, 475, 477, 479, 481, 483, 495, 496, 497, 499, 502, 509, 511, 522, 524, 530, 532, 533, 534, 542, 544, 547, 558, 560, 565, 566, 567, 569, 572, 595, 600, 601, 602, 605, 607, 610, 625, 636, 637, 638, 641, 650, 663, 665, 669, 673, 674, 675, 681, 696, 703, 710, 711, 712, 715, 728, 739, 747, 748, 749, 759, 767, 772, 776, 783, 784, 785, 790, 792, 795, 797, 799, 801, 804, 806, 808, 810, 819, 822, 823, 824, 832, 841, 848, 851, 857, 858, 859, 861, 872, 878, 888, 894, 895, 896, 903, 912, 914, 917, 922, 926, 931, 932, 933, 942, 951, 954, 956, 959, 962, 964, 966, 969, 970, 971, 973, 976, 978, 981, 983, 985, 989, 991, 994, 996, 999, 1001, 1004, 1007, 1009, 1010, 1011, 1014, 1016, 1018, 1021, 1024, 1028, 1031, 1036, 1038, 1041, 1048, 1049, 1050, 1053, 1055, 1057, 1059, 1061, 1068, 1070, 1076, 1078, 1081, 1085, 1086, 1087, 1091, 1094, 1096, 1100, 1102, 1104, 1106, 1108, 1111, 1113, 1115, 1117, 1119, 1122, 1124, 1125, 1126, 1128, 1130, 1133, 1136, 1138, 1140, 1142, 1146, 1148, 1155, 1157, 1159, 1163, 1164, 1165, 1175, 1184, 1186, 1188, 1189, 1191, 1196, 1198, 1199, 1200, 1204, 1206, 1209, 1211, 1216, 1218, 1220, 1223, 1236, 1237, 1238, 1240, 1243, 1246, 1255, 1260, 1262, 1265, 1267, 1271, 1273, 1274, 1275, 1281, 1284, 1287, 1296, 1299, 1301, 1303, 1305, 1311, 1312, 1313, 1318, 1321, 1323, 1326, 1329, 1337, 1339, 1341, 1344, 1348, 1349, 1350, 1353, 1355, 1357, 1359, 1363, 1365, 1370, 1372, 1385, 1386, 1387, 1390, 1392, 1395, 1397, 1399, 1401, 1405, 1410, 1413, 1415, 1419, 1422, 1423, 1424, 1428, 1430, 1434, 1441, 1451, 1458, 1459, 1460, 1463, 1468, 1471, 1472, 1473, 1475, 1476, 1477, 1478, 1480, 1482, 1483, 1484, 1490, 1491, 1492, 1493, 1495, 1497, 1498, 1499, 1504, 1505, 1506, 1511, 1514, 1515, 1516, 1519, 1521, 1522, 1523, 1525, 1526, 1527, 1530, 1531, 1532, 1534, 1535, 1536, 1540, 1541, 1542, 1544, 1549, 1551, 1556, 1557, 1558, 1560, 1565, 1572, 1579, 1583, 1586, 1587]}"
moral,"{1: [38, 444, 447]}"
pp,{1: [1226]}
hindsight,{1: [666]}
glance,{1: [492]}
total,{1: [536]}
devastation,{1: [722]}
spoke,"{1: [192, 424]}"
would,"{1: [154, 201, 275, 282, 416, 423, 597, 597, 598, 599, 683, 690, 691, 692, 723, 743, 745, 770, 944, 1293, 1306, 1309, 1315, 1325, 1380, 1444, 1447]}"
army,{1: [356]}
manipulators,{1: [854]}
arms,"{1: [1479, 1485, 1487, 1489]}"
kibbutzraised,{1: [407]}
program,{1: [1232]}
call,"{1: [99, 327, 329, 1304]}"
therefore,"{1: [468, 490, 618, 651]}"
type,{1: [771]}
tell,"{1: [257, 294, 1035, 1293, 1293]}"
thensenator,{1: [54]}
holy,"{1: [653, 1258, 1258]}"
successful,"{1: [573, 730, 1177, 1181]}"
benefiting,{1: [306]}
naive,"{1: [96, 239, 881]}"
hereby,{1: [1508]}
phony,{1: [228]}
reign,{1: [137]}
aware,"{1: [24, 364, 1193]}"
lord,{1: [865]}
continual,{1: [592]}
hold,"{1: [613, 614, 837, 1537]}"
must,"{1: [204, 363, 582, 582, 611, 779, 865, 867, 907, 1097, 1153, 1167, 1172, 1566, 1580, 1580, 1584]}"
shoot,{1: [1095]}
hoax,{1: [648]}
word,"{1: [203, 255, 620, 620, 780, 845, 868, 1082, 1084, 1178]}"
rights,"{1: [1486, 1488, 1509, 1512, 1547, 1563]}"
work,"{1: [471, 690, 692, 693, 1109, 1581]}"
awakening,{1: [722]}
incubator,{1: [61]}
eighteen,{1: [1524]}
henry,"{1: [112, 519, 617, 764]}"
exceptions,{1: [1580]}
akin,{1: [865]}
root,"{1: [884, 885]}"
example,"{1: [449, 523, 644, 1437]}"
indicated,"{1: [1570, 1576, 1578]}"
give,"{1: [292, 515, 516, 518, 523, 541, 687, 1002, 1039, 1080, 1089, 1105, 1123, 1247, 1406]}"
unjust,{1: [25]}
cited,{1: [125]}
organized,"{1: [879, 1234, 1254, 1448]}"
involve,{1: [633]}
indicates,{1: [958]}
loaning,{1: [652]}
want,"{1: [259, 292, 968, 997, 1073, 1079, 1088, 1090, 1112, 1141, 1141, 1193, 1193, 1222]}"
times,"{1: [177, 201, 1156, 1231, 1278, 1314, 1426, 1426]}"
advancing,{1: [454]}
absolute,"{1: [102, 103, 708]}"
end,"{1: [122, 520, 677]}"
turn,"{1: [589, 695, 707, 870]}"
provide,{1: [42]}
travel,{1: [159]}
song,{1: [361]}
crusaders,{1: [635]}
machine,"{1: [1131, 1416]}"
stupidity,"{1: [121, 206, 615, 661, 791, 1332]}"
writers,{1: [1065]}
answer,"{1: [25, 319, 432, 944, 965, 990, 992, 1105, 1110, 1112, 1116, 1120, 1134, 1139, 1141, 1141, 1247]}"
truthful,"{1: [1197, 1244]}"
classify,{1: [201]}
badly,{1: [863]}
minority,"{1: [760, 763]}"
replacing,{1: [507]}
containing,{1: [513]}
wrong,"{1: [244, 619, 834, 1171, 1400]}"
lay,"{1: [440, 757]}"
president,"{1: [75, 111, 113, 171, 754, 1227, 1228, 1231, 1231]}"
law,"{1: [513, 643, 1378, 1486, 1494, 1500, 1502, 1503, 1520, 1550, 1553, 1559]}"
las,{1: [1095]}
attempt,"{1: [150, 155, 1278]}"
effective,"{1: [364, 436]}"
headquarters,{1: [409]}
childhood,{1: [1118]}
maintain,{1: [630]}
enter,"{1: [460, 461]}"
order,"{1: [338, 460, 630]}"
greed,{1: [1393]}
senators,"{1: [89, 183]}"
untold,"{1: [734, 845]}"
office,"{1: [108, 816, 1044]}"
consent,{1: [928]}
using,"{1: [979, 1203]}"
ensnare,{1: [827]}
satisfied,{1: [700]}
strangle,{1: [1172]}
copyright,"{1: [1546, 1553, 1562, 1585]}"
unknowingly,{1: [891]}
exhibits,{1: [885]}
better,"{1: [424, 780, 882, 899, 1022, 1105, 1110, 1139, 1503]}"
production,{1: [603]}
compelling,"{1: [667, 886]}"
hidden,"{1: [1, 19, 82, 883, 935, 938, 1429]}"
overcome,{1: [35]}
eventually,"{1: [363, 389, 408, 927]}"
combination,{1: [562]}
selfconfessed,{1: [843]}
unemployed,{1: [831]}
safe,"{1: [755, 768]}"
intimidation,{1: [561]}
break,"{1: [854, 1064]}"
educating,{1: [756]}
basics,{1: [986]}
repulsive,"{1: [1239, 1276]}"
german,"{1: [1322, 1325]}"
schools,"{1: [1375, 1377]}"
silver,"{1: [507, 514, 516, 527]}"
bank,"{1: [505, 513, 587]}"
represents,{1: [25]}
pbs,{1: [1228]}
slavery,{1: [410]}
victory,"{1: [102, 139, 836]}"
addicted,{1: [708]}
went,"{1: [136, 177, 866]}"
meal,{1: [564]}
mean,"{1: [271, 391, 397, 1120, 1213, 1320]}"
geldings,{1: [563]}
angola,{1: [125]}
concord,{1: [1464]}
principles,"{1: [441, 1486]}"
aide,"{1: [54, 916]}"
taught,"{1: [97, 611, 643, 651, 1039, 1118, 1150, 1172, 1263]}"
enormity,{1: [1037]}
lawyers,{1: [1172]}
dawn,{1: [725]}
large,{1: [960]}
merchants,{1: [455]}
rs,"{1: [925, 1438]}"
god,"{1: [5, 453, 589, 591, 852, 852, 853, 868, 913, 949, 1114, 1118, 1259, 1304, 1335, 1406, 1420]}"
christhating,{1: [881]}
content,{1: [874]}
fellowship,{1: [169]}
encourage,{1: [1203]}
goy,"{1: [202, 203, 306, 443, 512, 515, 559, 741]}"
reader,"{1: [42, 814, 838, 941, 1416]}"
medicine,{1: [708]}
got,{1: [1208]}
newly,{1: [537]}
gov,{1: [599]}
forth,"{1: [431, 634, 729, 773]}"
informed,{1: [1488]}
foundation,"{1: [212, 1379]}"
personal,{1: [1098]}
sheer,{1: [762]}
free,"{1: [359, 576, 733, 868, 1507]}"
fred,{1: [1228]}
untruth,{1: [1250]}
wanted,"{1: [1241, 1324, 1327]}"
wrath,{1: [1470]}
pulpits,{1: [644]}
staggers,"{1: [194, 1279]}"
exposing,"{1: [17, 640]}"
